index,Player,RECEIVING REC,RECEIVING YDS,RECEIVING TDS,MISC FL,MISC FPTS,Position,PASSING ATT,PASSING CMP,PASSING YDS,PASSING TDS,PASSING INTS,RUSHING ATT,RUSHING YDS,RUSHING TDS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS,FG,FGA,XPT
7,Julian Edelman,6.6,79.1,0.6,0.1,18.4,wr,,,,,,0.7,5.5,0.0,,,,,,,,,18.4,,,
8,Sammy Watkins,5.7,82.5,0.7,0.1,18.3,wr,,,,,,0.2,1.2,0.0,,,,,,,,,18.3,,,
9,Chris Godwin,6.1,80.0,0.7,0.1,18.0,wr,,,,,,0.0,0.0,0.0,,,,,,,,,18.0,,,
10,Mike Evans,5.5,86.4,0.6,0.1,17.3,wr,,,,,,0.0,0.0,0.0,,,,,,,,,17.3,,,
11,Adam Thielen,5.4,78.4,0.6,0.1,16.8,wr,,,,,,0.3,1.9,0.0,,,,,,,,,16.8,,,
12,Kenny Golladay,5.7,82.0,0.5,0.1,16.8,wr,,,,,,0.1,0.6,0.0,,,,,,,,,16.8,,,
13,JuJu Smith-Schuster,5.8,79.9,0.5,0.1,16.7,wr,,,,,,0.0,0.5,0.0,,,,,,,,,16.7,,,
14,T.Y. Hilton,5.6,78.2,0.6,0.1,16.6,wr,,,,,,0.0,0.0,0.0,,,,,,,,,16.6,,,
15,Tyler Lockett,5.1,74.9,0.6,0.1,16.3,wr,,,,,,0.5,3.4,0.0,,,,,,,,,16.3,,,
16,Larry Fitzgerald,5.7,72.9,0.6,0.1,16.2,wr,,,,,,0.0,0.3,0.0,,,,,,,,,16.2,,,
17,Tyler Boyd,6.3,71.6,0.5,0.1,16.1,wr,,,,,,0.2,1.3,0.0,,,,,,,,,16.1,,,
18,D.J. Moore,5.9,71.5,0.4,0.2,16.0,wr,,,,,,0.8,8.8,0.0,,,,,,,,,16.0,,,
19,John Brown,4.7,74.8,0.6,0.0,15.6,wr,,,,,,0.2,0.6,0.0,,,,,,,,,15.6,,,
20,Cooper Kupp,5.3,68.6,0.5,0.1,15.5,wr,,,,,,0.4,2.6,0.0,,,,,,,,,15.5,,,
21,Allen Robinson,5.1,73.4,0.5,0.1,15.2,wr,,,,,,0.0,0.3,0.0,,,,,,,,,15.2,,,
22,Calvin Ridley,5.1,64.6,0.6,0.1,15.0,wr,,,,,,0.2,1.2,0.0,,,,,,,,,15.0,,,
23,Emmanuel Sanders,5.5,69.9,0.4,0.0,14.9,wr,,,,,,0.2,1.6,0.0,,,,,,,,,14.9,,,
24,Brandin Cooks,4.5,71.7,0.5,0.0,14.9,wr,,,,,,0.6,3.2,0.0,,,,,,,,,14.9,,,
25,Stefon Diggs,4.7,65.5,0.6,0.0,14.9,wr,,,,,,0.4,2.2,0.0,,,,,,,,,14.9,,,
26,Marquise Brown,4.6,67.0,0.5,0.0,14.6,wr,,,,,,0.4,2.8,0.0,,,,,,,,,14.6,,,
27,Tyrell Williams,5.0,66.1,0.5,0.0,14.4,wr,,,,,,0.1,0.7,0.0,,,,,,,,,14.4,,,
