actual_points,fumbles,fumbles_proj,name,point_diff,position,position_rank,pro_team,projected_points,rec_2pt_conversion,rec_2pt_conversion_proj,rec_avg_yards,rec_avg_yards_proj,rec_tds,rec_tds_proj,rec_yards,rec_yards_proj,receptions,receptions_proj,targets,targets_proj,week,weekly_outlook
21.0,0.0,0.028391076,Stefon Diggs,8.62,WR,13,MIN,12.38,0.0,0.01991186,20.286,13.83886184,0.0,0.298340034,142.0,63.20102966,7.0,4.566923955,8.0,6.785070309,7,"Diggs has been a strong fantasy force when healthy, ranking no lower than 14th in fantasy points per game during each of the past three seasons. ""When healthy"" has been the key, however, as Diggs has yet to make it through a full 16-game season, missing nine games in four seasons. Diggs did manage a career-best 10th place fantasy finish last season, however, fueled by top-8 finishes in targets (148), receptions (102) and touchdowns (9). Primarily a short-area target, Diggs' 10.0 YPR was sixth lowest and his 6.9 YPT 16th lowest at the position. Even with Minnesota looking to run more often, the 25-year-old should get enough volume to allow strong WR2 value."
21.0,,,Josh Allen,0.03999999999999915,QB,19,BUF,20.96,,,,,,,,,,,,,7,"Allen's rookie season was as expected on one hand and anything but on the other. The expected part was his struggles as a passer. Allen posted an ugly 10-to-12 TD/INT mark and ranked dead last in both completion percentage (53 percent) and off-target rate (22 percent). His 6.5 yards per attempt was fourth worst despite a league-high 11.2 aDOT. The surprising aspect was Allen's elite rushing production. Allen carried the ball 89 times for 631 yards and 8 touchdowns and his 7.1 yards per carry topped the position. The latter allowed Allen the most fantasy points at the position once he returned from injury in Week 12 through Week 17. Allen's passing struggles make him a risky fantasy investment, but he's worth a late-round flier because of his rushing contributions."
21.0,,,Philip Rivers,6.289999999999999,QB,13,LAC,14.71,,,,,,,,,,,,,7,"Rivers enjoyed one of the best seasons of his career in 2018, throwing 32 touchdowns, which matched his second-highest total of the past decade. Rivers also cleared 4,200 passing yards for the sixth consecutive season and finished top five in yards per completion for the third consecutive season. Despite yet another terrific passing season, Rivers was limited to six top-10 fantasy weeks and failed to finish as a top-10 fantasy QB for the fourth time in five seasons. The culprit? Minimal rushing contributions. Rivers hasn't scored a rushing touchdown since 2011 and has a total of 5 rushing yards on 36 carries over the past two seasons. Unless your league awards more points for passing categories, Rivers is limited to QB2 territory."
21.0,0.0,0.015884055,Marquez Valdes-Scantling,11.56,WR,35,GB,9.44,0.0,0.017751693,66.5,14.83069451,1.0,0.35654527,133.0,48.5980555,2.0,3.276856351,3.0,5.730052548,7,"The Packers drafted a trio of wide receivers in the mid-to-late rounds of the 2018 draft and fifth-rounder Valdes-Scantling emerged as the top producer of the three. Valdes-Scantling posted a 38/581/2 line and a solid 8.2 YPT despite 31 percent of balls thrown his way registering as off target (fifth highest). He averaged 5.7 yards after the catch, which was 11th best at the position. Especially with Randall Cobb gone, the Packers' wide receiver depth chart is wide open. Valdes-Scantling, who stands 6-foot-5 and aligned in the slot on 46 percent of his routes as a rookie, will have a shot at flex value if he locks down No. 2 or perhaps No. 3 duties in Green Bay's Aaron Rodgers-led offense. He's worth a mid-round flier."
21.0,0.0,0.021196414,Alex Erickson,13.73,WR,76,CIN,7.27,0.0,0.008933519,17.125,12.19016158,0.0,0.191801638,137.0,36.98169963,8.0,3.033733342,14.0,4.707632433,7,
20.0,,,Dak Prescott,2.289999999999999,QB,4,DAL,17.71,,,,,,,,,,,,,7,"Prescott has finished sixth, 11th and 10th, respectively, in fantasy points during his three NFL seasons. Efficient and consistent, he's finished in the upper-third in completion percentage, has thrown either 22 or 23 touchdowns and has rushed for exactly six touchdowns each of the three seasons. Prescott was limited by 56 sacks last season (second most), but the return of center Travis Frederick should help cut that number down. The 25-year-old gets the job done with his arm, is one of the game's better rushing quarterbacks and has Amari Cooper, second-year Michael Gallup and now Jason Witten and Randall Cobb at his disposal. He's a fringe QB1 option."
20.0,,,Gardner Minshew II,3.34,QB,14,JAX,16.66,,,,,,,,,,,,,7,
20.0,0.0,0.026677622,Corey Davis,11.27,WR,45,TEN,8.73,0.0,0.012750642,13.333,13.5314915,1.0,0.235247526,80.0,45.23016685,6.0,3.342585468,7.0,5.701716595,7,"Expectations were high last season as 2017 fifth-overall pick Davis entered his second NFL season. Volume was far from an issue, as Davis racked up 112 targets (18th most), but he still managed only a 28th-place finish in fantasy points and five top-40 fantasy weeks. After a league-high 33 percent of balls thrown his way were off target in 2017, 27 percent missed the mark in 2018 (12th highest). Davis was, in turn, held to a 58 percent catch rate. A third-year breakout could be in the cards, but with Adam Humphries, A.J. Brown and a healthy Delanie Walker now in the fold, the 24-year-old Davis is best valued as a flex target in Tennessee's run-heavy offense."
20.0,,,Mitchell Trubisky,7.890000000000001,QB,29,CHI,12.11,,,,,,,,,,,,,7,"Trubisky took a giant step forward in his second season, throwing for 3,223 yards and 24 touchdowns, while adding 421 yards (fifth most among quarterbacks) and three touchdowns with his legs in 14 games. He ranked 11th in fantasy points per game. A closer look shows average or worse efficiency nearly across the board, including a 2.8 percent interception rate (11th worst). Trubisky has struggled with accuracy, as shown by his 20 percent off-target rate in 2017 (sixth worst) and 19 percent rate in 2018 (seventh worst). Trubisky's rushing ability and good supporting cast help his fantasy appeal, but he hasn't proven to be a good -- or even average -- starting quarterback yet. Consider him a midrange QB2."
20.0,,,Ryan Fitzpatrick,10.36,QB,31,MIA,9.64,,,,,,,,,,,,,7,"If you had to summarize Fitzpatrick's 2018 season in one aphorism, ""YOLO"" would be the appropriate choice. The veteran passer posted a 10.2 aDOT (third highest) and topped the NFL in both yards per completion (14.4) and yards per attempt (9.6). His 6.9 percent touchdown rate was third best and his 4.9 interception rate was the worst. During 28 games over the past three seasons, Fitzpatrick has thrown 36 touchdowns and 32 interceptions. The 36-year-old signed with Miami and will open the season as the starter, though it's extremely likely that Josh Rosen will get plenty of run, as well. The Miami supporting cast ranks as one of the worst in the league, so there is little fantasy value here in most formats."
