week,name,projected_points,actual_points,point_diff,pro_team,position,position_rank,weekly_outlook,receptions,rec_yards,rec_tds,rec_2pt_conversion,targets,rec_avg_yards,fumbles,receptions_proj,rec_yards_proj,rec_tds_proj,rec_2pt_conversion_proj,targets_proj,rec_avg_yards_proj,fumbles_proj
13,Jarrett Stidham,0.01,0.0,-0.01,NE,QB,72,,,,,,,,,,,,,,,
13,J.P. Holtz,2.54,0.0,-2.54,CHI,TE,72,,,,,,,,,,,,,,,
13,Isaiah Ford,4.69,0.0,-4.69,MIA,WR,125,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.897173846,23.25356651,0.134547166,0.005879938,3.153395683,12.25695081,0.01112343
13,Tra Carson,0.0,0.0,0.0,DET,RB,111,,,,,,,,,,,,,,,
13,Logan Thomas,2.55,0.0,-2.55,DET,TE,51,,,,,,,,,,,,,,,
13,Cody Parkey,0.0,0.0,0.0,TEN,K,40,,,,,,,,,,,,,,,
13,Josh Oliver,0.0,0.0,0.0,JAX,TE,99,"The Jaguars selected Oliver in the third round of April's draft. Oliver was busy at San Jose State last season, playing 780 snaps and handling 103 targets, the latter of which was most in this rookie class.  Oliver struggled a bit with efficiency, including eight drops, and isn't particularly quick (4.47 short shuttle). Oliver has a decent-sized frame (6-foot-5, 249 pounds) and could develop into a two-way tight end in the pros. In the short term, expect him share tight ends duties with veterans Geoff Swaim and James O'Shaughnessy. He doesn't have much 2019 fantasy value.",,,,,,,,,,,,,,
13,Alec Ingold,0.19,3.0,2.81,OAK,RB,99,,,,,,,,,,,,,,,
13,Corey Clement,0.0,0.0,0.0,PHI,RB,164,"Clement was a popular 2018 fantasy sleeper but ended up resuming his role as a complementary player and saw his efficiency take a nosedive after a solid rookie season. Clement registered 444 yards and six touchdowns on 84 touches in 2017 before posting 451 yards and two scores on 90 touches in 2018 (10 games). Clement will have a hard time finding touches behind Jordan Howard, Darren Sproles and Miles Sanders. He has little fantasy appeal.",,,,,,,,,,,,,,
13,Darrius Shepherd,0.0,0.0,0.0,GB,WR,228,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Richie James Jr.,0.56,0.0,-0.56,SF,WR,138,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227404326,3.003444547,0.013559683,0.000754014,0.360734988,13.20750839,0.002666615
13,Jordan Thomas,0.62,0.0,-0.62,HOU,TE,115,,,,,,,,,,,,,,,
13,Trevor Davis,3.14,-2.0,-5.140000000000001,MIA,WR,136,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.45172926,18.21898823,0.097551708,0.003514369,2.213398561,12.5498526,0.008511718
13,Jesper Horsted,3.14,8.0,4.859999999999999,CHI,TE,67,,,,,,,,,,,,,,,
13,Trayveon Williams,0.0,0.0,0.0,CIN,RB,136,,,,,,,,,,,,,,,
13,Chris Hogan,0.0,0.0,0.0,CAR,WR,160,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Nathan Peterman,0.0,0.0,0.0,OAK,QB,0,,,,,,,,,,,,,,,
13,C.J. Ham,0.9,4.0,3.1,MIN,RB,81,,,,,,,,,,,,,,,
13,Travis Benjamin,0.0,0.0,0.0,LAC,WR,163,"The Chargers increased their usage of three-plus wide receiver sets from 71% in 2017 (Anthony Lynn's first season as head coach) to 78% last season. The change was predictable with Hunter Henry out and with Mike Williams in his second season. Of course, with Henry back and Tyrell Williams gone, it's possible the number regresses in 2019. Benjamin is a noteworthy deep sleeper, but keep in mind that the 29 year old has one Top 45 fantasy campaign to his name and that was back in 2015.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Isaiah Crowell,0.0,0.0,0.0,OAK,RB,0,"Crowell signed with the Raiders, but tore his ACL and is out for the 2019 season. Despite his release from the Jets early in the offseason, Crowell's efficiency was pretty solid in 2018. He averaged 4.8 YPC (second-highest of his career), including a career-best 2.1 YAC. Crowell has rushed for 3,803 yards since entering the league in 2014, which ranks ninth in the league. Crowell hasn't been quite as effective as a receiver, having failed to clear 200 receiving yards in four of his five seasons. Crowell has managed only one top-30 fantasy season in his career and figures to settle in as a committee back once he returns to health in 2020.",,,,,,,,,,,,,,
13,Jarius Wright,3.25,6.0,2.75,CAR,WR,103,"Carolina operated its pass-heaviest offense during the Cam Newton era last season, which led to a third wide receiver seeing the field on 85% of its pass plays. That was third highest in the NFL. Wright quietly caught 43 passes for 447 yards last season while focusing his time on the short area (6.0 aDOT was second-lowest at the position and his 74% catch rate was sixth best). His role, as well as the presence of Christian McCaffrey, DJ Moore, Curtis Samuel and Greg Olsen, severely limits his fantasy appeal, though it's fair to say he's among the deepest of sleepers in oversized PPR leagues.",3.0,34.0,0.0,0.0,5.0,11.333,0.0,1.686602658,18.7000847,0.096496757,0.005598751,2.55902983,11.0874275,0.015317706
13,Keelan Doss,2.15,2.0,-0.1499999999999999,OAK,WR,139,,1.0,11.0,0.0,0.0,1.0,11.0,0.0,0.817300403,10.41286415,0.055925415,0.002014753,1.264799177,12.74055917,0.004791961
13,Ryan Switzer,0.0,0.0,0.0,PIT,WR,158,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Dontrelle Inman,0.0,0.0,0.0,IND,WR,137,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Trent Taylor,0.0,0.0,0.0,SF,WR,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Andre Roberts,0.52,0.0,-0.52,BUF,WR,188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186289126,2.282124353,0.011288977,0.000771019,0.32231921,12.25044319,0.001092243
13,Ryan Izzo,0.0,0.0,0.0,NE,TE,64,,,,,,,,,,,,,,,
